iter,time,position,Fnet,Fr,Fd,Fg,a,v,mass
0,0,0,0
1,0.030000,0.005223,0.509119,1.800000,0.000000,-1.290881,3.869034,0.116071,0.131588
2,0.060000,0.032826,2.325846,3.600000,0.002878,-1.277031,17.866872,0.652077,0.130176
3,0.090000,0.095922,4.152355,5.400000,0.015537,-1.263182,32.247616,1.619506,0.128765
4,0.120000,0.207966,5.986434,7.200000,0.035767,-1.249332,47.006643,3.029705,0.127353
5,0.150000,0.382722,7.823737,9.000000,0.059220,-1.235483,62.122155,4.893370,0.125941
6,0.180000,0.634220,9.657600,10.800000,0.079233,-1.221634,77.552760,7.219952,0.124529
7,0.210000,0.887868,3.378885,4.500000,0.086669,-1.207784,27.444358,8.043283,0.123118
8,0.240000,1.166777,3.390697,4.500000,0.084632,-1.193935,27.859766,8.879076,0.121706
9,0.270000,1.471306,3.399983,4.500000,0.080069,-1.180085,28.263919,9.726994,0.120294
10,0.300000,1.801801,3.406633,4.500000,0.072869,-1.166236,28.655498,10.586659,0.118882
11,0.330000,2.158595,3.410541,4.500000,0.062927,-1.152386,29.033146,11.457653,0.117471
12,0.360000,2.542009,3.411604,4.500000,0.050141,-1.138537,29.395475,12.339517,0.116059
13,0.390000,2.952345,3.409726,4.500000,0.034413,-1.124688,29.741065,13.231749,0.114647
14,0.420000,3.389890,3.404813,4.500000,0.015651,-1.110838,30.068478,14.133804,0.113235
15,0.450000,3.854912,3.396780,4.500000,-0.006231,-1.096989,30.376258,15.045091,0.111824
16,0.480000,4.347659,3.385549,4.500000,-0.031311,-1.083139,30.662940,15.964980,0.110412
17,0.510000,4.868360,3.371049,4.500000,-0.059661,-1.069290,30.927059,16.892791,0.109000
18,0.540000,5.417220,3.353220,4.500000,-0.091340,-1.055441,31.167159,17.827806,0.107588
19,0.570000,5.994419,3.332009,4.500000,-0.126400,-1.041591,31.381800,18.769260,0.106176
20,0.600000,6.600116,3.307377,4.500000,-0.164882,-1.027742,31.569568,19.716347,0.104765
